date,lake_id,temp_water,temp_air,precipitation,water_level,pH,turbidity,oxygen,nitrates,ammonia
2024-01-01,1,4.316511961906735,3.9613795364393205,0.9385361799537182,2.1317981420310304,7.045021418826643,5.16624493131336,7.257770479808365,1.524484971295585,0.1738294932321773
2024-01-02,1,4.298573126944955,3.733485716475995,6.020242861835042,1.967450633430946,7.118480707856022,4.065793186418448,5.838439666680807,0.7665984406537354,0.2829129827336114
2024-01-03,1,5.34856093749355,6.118872898527504,2.6334913870908987,1.8540701701842919,6.7725898420557735,3.5324240524292723,8.25557365371237,0.6659646739511147,0.19726680658939066
2024-01-04,1,4.3100732471910375,10.449926926571706,1.8258851075519065,2.062279478385716,6.5987536333941765,5.072126782939255,8.988669169358003,1.50276761298728,0.13438040451115568
2024-01-05,1,1.785791090799957,5.562955628880533,0.33924974092469257,2.2654971401559996,7.649405662423526,5.695060752316149,6.648554235108029,0.42723089100054,0.1267107114272774
2024-01-06,1,-1.3187027140987455,-4.475456023936632,0.33919258382921036,1.8606410754065097,6.509541278519851,7.327017535909974,8.670219897277338,0.3183136876394208,0.19304217910787738
2024-01-07,1,1.5187198446248584,0.16366311407498557,0.11967753721736135,1.8133288505281162,6.336040964156363,5.5303110545977745,8.676966387339537,1.353818211854244,0.28899875622171
2024-01-08,1,4.407403596277699,5.987088124614635,4.022461728959879,1.8933534077250922,7.34013268964774,6.283861069923102,5.726503740884696,1.0045190932561536,0.3591019305775117
2024-01-09,1,3.490357463255271,4.190601529730348,1.838164307254529,2.2856033281540085,7.578907421012005,6.306566346499076,7.0637113675932275,1.532438369645119,0.17942314019703326
2024-01-10,1,5.055529521863321,7.721977277104805,2.4625001234091806,2.435765074238711,6.774295171199681,10.37506873139392,7.604171219268338,0.07013293938898957,0.1955256819237402
2024-01-11,1,1.346921967780482,1.6231400253144748,0.041598615998277244,2.108604173582741,6.7819732561750605,1.3799351934548416,7.820375999764763,0.2996630044407185,0.07860582938426171
2024-01-12,1,3.8608203541739794,5.831452347294886,7.007114950316624,2.174394240210717,7.141271763053396,3.6241322663256446,7.256865735232016,1.0071660299220782,0.39391925690994667
2024-01-13,1,2.454665715453058,3.276223364265718,3.57285908670935,1.8110897428204662,6.646073661628408,7.94811210497616,7.202997196417818,1.2088368492418933,0.059899716184391605
2024-01-14,1,4.059967269054316,3.651027062135256,0.477375250497894,2.2630263949856975,6.609143739694016,4.295973850293052,9.671482891182093,1.4234985438447292,0.3171662311780551
2024-01-15,1,2.543369700104228,3.7408612553788974,0.4013579774993267,2.1655211031395223,7.439796293993183,6.771606275203439,7.892440868141092,1.0874088844043888,0.16346640469875295
